Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent,,
13,Austin,011,BASTROP,Not Economically Disadvantaged, 490 , 470 ,96%, 433 ,88%, 28 ,6%, 342 ,70%, 157 ,32%, 156 ,32%, 313 ,64%, 65 ,13%, 124 ,25%,,
13,Austin,011,BASTROP,Economically Disadvantaged, 514 , 484 ,94%, 401 ,78%, 70 ,14%, 328 ,64%, 54 ,11%, 113 ,22%, 167 ,32%, 23 ,4%, 28 ,5%,,
13,Austin,014,BELL,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
13,Austin,014,BELL,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
13,Austin,016,BLANCO,Not Economically Disadvantaged, 89 , 87 ,98%, 76 ,85%, 8 ,9%, 72 ,81%, 29 ,33%, 22 ,25%, 51 ,57%, 2 ,2%, 33 ,37%,,
13,Austin,016,BLANCO,Economically Disadvantaged, 49 , 45 ,92%, 37 ,76%, 8 ,16%, 36 ,73%, 8 ,16%, 6 ,12%, 14 ,29%, 1 ,2%, 6 ,12%,,
13,Austin,027,BURNET,Not Economically Disadvantaged, 314 , 304 ,97%, 291 ,93%, 11 ,4%, 281 ,89%, 133 ,42%, 90 ,29%, 223 ,71%, 9 ,3%, 113 ,36%,,
13,Austin,027,BURNET,Economically Disadvantaged, 254 , 240 ,94%, 206 ,81%, 29 ,11%, 198 ,78%, 32 ,13%, 57 ,22%, 89 ,35%, 2 ,1%, 29 ,11%,,
13,Austin,028,CALDWELL,Not Economically Disadvantaged, 215 , 213 ,99%, 199 ,93%, 10 ,5%, 188 ,87%, 62 ,29%, 68 ,32%, 130 ,60%, 3 ,1%, 53 ,25%,,
13,Austin,028,CALDWELL,Economically Disadvantaged, 263 , 251 ,95%, 227 ,86%, 25 ,10%, 225 ,86%, 29 ,11%, 59 ,22%, 88 ,33%, 4 ,2%, 22 ,8%,,
13,Austin,046,COMAL,Not Economically Disadvantaged," 1,148 "," 1,102 ",96%," 1,050 ",91%, 35 ,3%," 1,008 ",88%, 456 ,40%, 306 ,27%, 762 ,66%, 24 ,2%, 414 ,36%,,
13,Austin,046,COMAL,Economically Disadvantaged, 573 , 499 ,87%, 386 ,67%, 92 ,16%, 363 ,63%, 55 ,10%, 130 ,23%, 185 ,32%, 20 ,3%, 50 ,9%,,
13,Austin,075,FAYETTE,Not Economically Disadvantaged, 171 , 169 ,99%, 160 ,94%, 7 ,4%, 159 ,93%, 63 ,37%, 77 ,45%, 140 ,82%, 4 ,2%, 94 ,55%,,
13,Austin,075,FAYETTE,Economically Disadvantaged, 134 , 131 ,98%, 105 ,78%, 23 ,17%, 106 ,79%, 13 ,10%, 36 ,27%, 49 ,37%, 3 ,2%, 15 ,11%,,
13,Austin,086,GILLESPIE,Not Economically Disadvantaged, 153 , 148 ,97%, 142 ,93%, 3 ,2%, 140 ,92%, 65 ,42%, 36 ,24%, 101 ,66%, 1 ,1%, 50 ,33%,,
13,Austin,086,GILLESPIE,Economically Disadvantaged, 105 , 99 ,94%, 91 ,87%, 5 ,5%, 85 ,81%, 14 ,13%, 24 ,23%, 38 ,36%, 3 ,3%, 7 ,7%,,
13,Austin,089,GONZALES,Not Economically Disadvantaged, 86 , 85 ,99%, 73 ,85%, 7 ,8%, 66 ,77%, 19 ,22%, 31 ,36%, 50 ,58%, 5 ,6%, 20 ,23%,,
13,Austin,089,GONZALES,Economically Disadvantaged, 200 , 189 ,95%, 133 ,67%, 42 ,21%, 130 ,65%, 13 ,7%, 38 ,19%, 51 ,26%, 5 ,3%, 16 ,8%,,
13,Austin,094,GUADALUPE,Not Economically Disadvantaged, 964 , 926 ,96%, 797 ,83%, 94 ,10%, 822 ,85%, 296 ,31%, 264 ,27%, 560 ,58%, 20 ,2%, 275 ,29%,,
13,Austin,094,GUADALUPE,Economically Disadvantaged, 546 , 514 ,94%, 356 ,65%, 148 ,27%, 399 ,73%, 62 ,11%, 109 ,20%, 171 ,31%, 10 ,2%, 50 ,9%,,
13,Austin,105,HAYS,Not Economically Disadvantaged," 1,132 "," 1,097 ",97%, 965 ,85%, 111 ,10%, 977 ,86%, 436 ,39%, 332 ,29%, 768 ,68%, 40 ,4%, 335 ,30%,,
13,Austin,105,HAYS,Economically Disadvantaged, 774 , 745 ,96%, 542 ,70%, 192 ,25%, 585 ,76%, 102 ,13%, 173 ,22%, 275 ,36%, 12 ,2%, 44 ,6%,,
13,Austin,130,KENDALL,Not Economically Disadvantaged, 44 , 43 ,98%, 36 ,82%, 5 ,11%, 40 ,91%, 21 ,48%, 14 ,32%, 35 ,80%, -   ,0%, 18 ,41%,,
13,Austin,130,KENDALL,Economically Disadvantaged, 63 , 61 ,97%, 44 ,70%, 14 ,22%, 48 ,76%, 7 ,11%, 10 ,16%, 17 ,27%, -   ,0%, 8 ,13%,,
13,Austin,144,LEE,Not Economically Disadvantaged, 108 , 103 ,95%, 96 ,89%, 9 ,8%, 90 ,83%, 32 ,30%, 34 ,31%, 66 ,61%, 1 ,1%, 33 ,31%,,
13,Austin,144,LEE,Economically Disadvantaged, 123 , 117 ,95%, 97 ,79%, 17 ,14%, 90 ,73%, 13 ,11%, 41 ,33%, 54 ,44%, 3 ,2%, 19 ,15%,,
13,Austin,150,LLANO,Not Economically Disadvantaged, 67 , 66 ,99%, 63 ,94%, 3 ,4%, 63 ,94%, 30 ,45%, 17 ,25%, 47 ,70%, -   ,0%, 23 ,34%,,
13,Austin,150,LLANO,Economically Disadvantaged, 65 , 62 ,95%, 46 ,71%, 11 ,17%, 47 ,72%, 7 ,11%, 12 ,18%, 19 ,29%, 2 ,3%, 5 ,8%,,
13,Austin,166,MILAM,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
13,Austin,166,MILAM,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
13,Austin,227,TRAVIS,Not Economically Disadvantaged," 4,701 "," 4,421 ",94%," 4,123 ",88%, 224 ,5%," 3,906 ",83%," 1,703 ",36%," 1,327 ",28%," 3,030 ",64%, 203 ,4%," 1,555 ",33%,,
13,Austin,227,TRAVIS,Economically Disadvantaged," 4,687 "," 4,311 ",92%," 3,332 ",71%, 870 ,19%," 3,023 ",65%, 507 ,11%," 1,093 ",23%," 1,600 ",34%, 133 ,3%, 351 ,7%,,
13,Austin,246,WILLIAMSON,Not Economically Disadvantaged," 4,551 "," 4,381 ",96%," 4,049 ",89%, 226 ,5%," 3,927 ",86%," 1,716 ",38%," 1,430 ",31%," 3,146 ",69%, 141 ,3%," 1,728 ",38%,,
13,Austin,246,WILLIAMSON,Economically Disadvantaged," 1,720 "," 1,616 ",94%," 1,280 ",74%, 296 ,17%," 1,224 ",71%, 235 ,14%, 464 ,27%, 699 ,41%, 47 ,3%, 187 ,11%,,
14,Abilene,030,CALLAHAN,Not Economically Disadvantaged, 110 , 106 ,96%, 104 ,95%, 2 ,2%, 99 ,90%, 42 ,38%, 40 ,36%, 82 ,75%, 1 ,1%, 37 ,34%,,
14,Abilene,030,CALLAHAN,Economically Disadvantaged, 87 , 81 ,93%, 70 ,80%, 6 ,7%, 59 ,68%, 9 ,10%, 26 ,30%, 35 ,40%, 2 ,2%, 10 ,11%,,
14,Abilene,047,COMANCHE,Not Economically Disadvantaged, 87 , 86 ,99%, 83 ,95%, 3 ,3%, 83 ,95%, 42 ,48%, 21 ,24%, 63 ,72%, 1 ,1%, 40 ,46%,,
14,Abilene,047,COMANCHE,Economically Disadvantaged, 103 , 88 ,85%, 73 ,71%, 20 ,19%, 75 ,73%, 18 ,17%, 19 ,18%, 37 ,36%, 4 ,4%, 14 ,14%,,
14,Abilene,067,EASTLAND,Not Economically Disadvantaged, 107 , 101 ,94%, 94 ,88%, 8 ,7%, 87 ,81%, 18 ,17%, 48 ,45%, 66 ,62%, 2 ,2%, 36 ,34%,,
14,Abilene,067,EASTLAND,Economically Disadvantaged, 122 , 112 ,92%, 98 ,80%, 9 ,7%, 89 ,73%, 15 ,12%, 40 ,33%, 55 ,45%, 1 ,1%, 25 ,20%,,
14,Abilene,076,FISHER,Not Economically Disadvantaged, 27 , 26 ,96%, . ,., . ,., 25 ,93%, 10 ,37%, 10 ,37%, 20 ,74%, -   ,0%, 13 ,48%,,
14,Abilene,076,FISHER,Economically Disadvantaged, 32 , 32 ,100%, . ,., . ,., 30 ,94%, 9 ,28%, 16 ,50%, 25 ,78%, -   ,0%, 7 ,22%,,
14,Abilene,104,HASKELL,Not Economically Disadvantaged, 25 , 23 ,92%, 23 ,92%, 1 ,4%, 23 ,92%, 11 ,44%, 7 ,28%, 18 ,72%, -   ,0%, 13 ,52%,,
14,Abilene,104,HASKELL,Economically Disadvantaged, 49 , 48 ,98%, 46 ,94%, 1 ,2%, 43 ,88%, 12 ,24%, 12 ,24%, 24 ,49%, -   ,0%, 13 ,27%,,
14,Abilene,127,JONES,Not Economically Disadvantaged, 90 , 87 ,97%, 84 ,93%, 2 ,2%, 84 ,93%, 36 ,40%, 25 ,28%, 61 ,68%, -   ,0%, 28 ,31%,,
14,Abilene,127,JONES,Economically Disadvantaged, 115 , 111 ,97%, 94 ,82%, 7 ,6%, 83 ,72%, 19 ,17%, 28 ,24%, 47 ,41%, 3 ,3%, 12 ,10%,,
14,Abilene,168,MITCHELL,Not Economically Disadvantaged, 39 , 37 ,95%, 35 ,90%, 2 ,5%, 34 ,87%, 11 ,28%, 18 ,46%, 29 ,74%, 2 ,5%, 18 ,46%,,
14,Abilene,168,MITCHELL,Economically Disadvantaged, 51 , 49 ,96%, 44 ,86%, 2 ,4%, 41 ,80%, 4 ,8%, 15 ,29%, 19 ,37%, -   ,0%, 6 ,12%,,
14,Abilene,177,NOLAN,Not Economically Disadvantaged, 86 , 83 ,97%, 79 ,92%, 3 ,3%, 77 ,90%, 47 ,55%, 20 ,23%, 67 ,78%, 1 ,1%, 45 ,52%,,
14,Abilene,177,NOLAN,Economically Disadvantaged, 110 , 102 ,93%, 83 ,75%, 18 ,16%, 73 ,66%, 18 ,16%, 23 ,21%, 41 ,37%, 3 ,3%, 16 ,15%,,
14,Abilene,208,SCURRY,Not Economically Disadvantaged, 158 , 154 ,97%, 137 ,87%, 12 ,8%, 136 ,86%, 22 ,14%, 77 ,49%, 99 ,63%, 2 ,1%, 47 ,30%,,
14,Abilene,208,SCURRY,Economically Disadvantaged, 93 , 91 ,98%, 80 ,86%, 9 ,10%, 80 ,86%, 7 ,8%, 43 ,46%, 50 ,54%, 1 ,1%, 25 ,27%,,
14,Abilene,209,SHACKELFORD,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
14,Abilene,209,SHACKELFORD,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
14,Abilene,215,STEPHENS,Not Economically Disadvantaged, 63 , 62 ,98%, 54 ,86%, 5 ,8%, 55 ,87%, 26 ,41%, 16 ,25%, 42 ,67%, -   ,0%, 27 ,43%,,
14,Abilene,215,STEPHENS,Economically Disadvantaged, 73 , 71 ,97%, 59 ,81%, 10 ,14%, 54 ,74%, 5 ,7%, 17 ,23%, 22 ,30%, -   ,0%, 11 ,15%,,
14,Abilene,217,STONEWALL,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
14,Abilene,217,STONEWALL,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
14,Abilene,221,TAYLOR,Not Economically Disadvantaged, 910 , 851 ,94%, 786 ,86%, 27 ,3%, 749 ,82%, 338 ,37%, 251 ,28%, 589 ,65%, 25 ,3%, 350 ,38%,,
14,Abilene,221,TAYLOR,Economically Disadvantaged, 875 , 795 ,91%, 609 ,70%, 127 ,15%, 546 ,62%, 86 ,10%, 245 ,28%, 331 ,38%, 30 ,3%, 81 ,9%,,
15,San Angelo,025,BROWN,Not Economically Disadvantaged, 245 , 236 ,96%, 230 ,94%, 5 ,2%, 217 ,89%, 101 ,41%, 64 ,26%, 165 ,67%, 5 ,2%, 91 ,37%,,
15,San Angelo,025,BROWN,Economically Disadvantaged, 276 , 256 ,93%, 215 ,78%, 33 ,12%, 167 ,61%, 37 ,13%, 63 ,23%, 100 ,36%, 11 ,4%, 25 ,9%,,
15,San Angelo,041,COKE,Not Economically Disadvantaged, 26 , 26 ,100%, 24 ,92%, 1 ,4%, 23 ,88%, 11 ,42%, 9 ,35%, 20 ,77%, -   ,0%, 14 ,54%,,
15,San Angelo,041,COKE,Economically Disadvantaged, 18 , 18 ,100%, 17 ,94%, 1 ,6%, 15 ,83%, 2 ,11%, 4 ,22%, 6 ,33%, 1 ,6%, 1 ,6%,,
15,San Angelo,042,COLEMAN,Not Economically Disadvantaged, 40 , 39 ,98%, 38 ,95%, -   ,0%, 36 ,90%, 17 ,43%, 15 ,38%, 32 ,80%, 1 ,3%, 18 ,45%,,
15,San Angelo,042,COLEMAN,Economically Disadvantaged, 71 , 70 ,99%, 60 ,85%, 5 ,7%, 49 ,69%, 8 ,11%, 18 ,25%, 26 ,37%, -   ,0%, 5 ,7%,,
15,San Angelo,048,CONCHO,Not Economically Disadvantaged, 12 , 12 ,100%, 11 ,92%, 1 ,8%, 12 ,100%, 4 ,33%, 2 ,17%, 6 ,50%, -   ,0%, 5 ,42%,,
15,San Angelo,048,CONCHO,Economically Disadvantaged, 16 , 16 ,100%, 13 ,81%, 2 ,13%, 13 ,81%, -   ,0%, 9 ,56%, 9 ,56%, -   ,0%, 1 ,6%,,
15,San Angelo,053,CROCKETT,Not Economically Disadvantaged, 29 , 28 ,97%, 25 ,86%, 1 ,3%, 25 ,86%, 10 ,34%, 7 ,24%, 17 ,59%, -   ,0%, 7 ,24%,,
15,San Angelo,053,CROCKETT,Economically Disadvantaged, 33 , 33 ,100%, 27 ,82%, 4 ,12%, 23 ,70%, 2 ,6%, 8 ,24%, 10 ,30%, -   ,0%, 3 ,9%,,
15,San Angelo,069,EDWARDS,Not Economically Disadvantaged, 19 , 18 ,95%, 18 ,95%, -   ,0%, 18 ,95%, 9 ,47%, 4 ,21%, 13 ,68%, -   ,0%, 11 ,58%,,
15,San Angelo,069,EDWARDS,Economically Disadvantaged, 37 , 36 ,97%, 34 ,92%, 2 ,5%, 28 ,76%, 3 ,8%, 8 ,22%, 11 ,30%, -   ,0%, 2 ,5%,,
15,San Angelo,118,IRION,Not Economically Disadvantaged, 17 , 16 ,94%, 16 ,94%, -   ,0%, 16 ,94%, 9 ,53%, 3 ,18%, 12 ,71%, 1 ,6%, 7 ,41%,,
15,San Angelo,118,IRION,Economically Disadvantaged, 17 , 17 ,100%, 17 ,100%, -   ,0%, 14 ,82%, 5 ,29%, 3 ,18%, 8 ,47%, -   ,0%, 2 ,12%,,
15,San Angelo,134,KIMBLE,Not Economically Disadvantaged, 27 , 27 ,100%, . ,., . ,., 26 ,96%, 10 ,37%, 7 ,26%, 17 ,63%, -   ,0%, 6 ,22%,,
15,San Angelo,134,KIMBLE,Economically Disadvantaged, 35 , 35 ,100%, . ,., . ,., 33 ,94%, 6 ,17%, 6 ,17%, 12 ,34%, -   ,0%, 4 ,11%,,
15,San Angelo,157,MASON,Not Economically Disadvantaged, 20 , 20 ,100%, 20 ,100%, -   ,0%, 19 ,95%, 11 ,55%, 4 ,20%, 15 ,75%, -   ,0%, 10 ,50%,,
15,San Angelo,157,MASON,Economically Disadvantaged, 22 , 22 ,100%, 20 ,91%, 2 ,9%, 18 ,82%, 5 ,23%, 2 ,9%, 7 ,32%, -   ,0%, 3 ,14%,,
15,San Angelo,160,MCCULLOCH,Not Economically Disadvantaged, 46 , 45 ,98%, 43 ,93%, 2 ,4%, 42 ,91%, 27 ,59%, 7 ,15%, 34 ,74%, 2 ,4%, 19 ,41%,,
15,San Angelo,160,MCCULLOCH,Economically Disadvantaged, 79 , 73 ,92%, 65 ,82%, 6 ,8%, 59 ,75%, 15 ,19%, 10 ,13%, 25 ,32%, 1 ,1%, 11 ,14%,,
15,San Angelo,164,MENARD,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
15,San Angelo,164,MENARD,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
15,San Angelo,200,RUNNELS,Not Economically Disadvantaged, 68 , 66 ,97%, 63 ,93%, 2 ,3%, 62 ,91%, 37 ,54%, 14 ,21%, 51 ,75%, 1 ,1%, 39 ,57%,,
15,San Angelo,200,RUNNELS,Economically Disadvantaged, 95 , 92 ,97%, 84 ,88%, 7 ,7%, 78 ,82%, 15 ,16%, 21 ,22%, 36 ,38%, -   ,0%, 15 ,16%,,
15,San Angelo,206,SAN SABA,Not Economically Disadvantaged, 34 , 33 ,97%, 33 ,97%, 1 ,3%, 27 ,79%, 16 ,47%, 11 ,32%, 27 ,79%, 3 ,9%, 10 ,29%,,
15,San Angelo,206,SAN SABA,Economically Disadvantaged, 55 , 52 ,95%, 45 ,82%, 2 ,4%, 39 ,71%, 8 ,15%, 11 ,20%, 19 ,35%, 2 ,4%, 2 ,4%,,
15,San Angelo,207,SCHLEICHER,Not Economically Disadvantaged, 25 , 24 ,96%, 24 ,96%, 1 ,4%, 23 ,92%, 14 ,56%, 4 ,16%, 18 ,72%, -   ,0%, 11 ,44%,,
15,San Angelo,207,SCHLEICHER,Economically Disadvantaged, 26 , 25 ,96%, 22 ,85%, 3 ,12%, 20 ,77%, 3 ,12%, 7 ,27%, 10 ,38%, -   ,0%, 4 ,15%,,
15,San Angelo,216,STERLING,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
15,San Angelo,216,STERLING,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
15,San Angelo,218,SUTTON,Not Economically Disadvantaged, 47 , 46 ,98%, 46 ,98%, -   ,0%, 42 ,89%, 18 ,38%, 11 ,23%, 29 ,62%, 1 ,2%, 16 ,34%,,
15,San Angelo,218,SUTTON,Economically Disadvantaged, 32 , 30 ,94%, 27 ,84%, 4 ,13%, 24 ,75%, 7 ,22%, 8 ,25%, 15 ,47%, 1 ,3%, 6 ,19%,,
15,San Angelo,226,TOM GREEN,Not Economically Disadvantaged, 662 , 617 ,93%, 578 ,87%, 32 ,5%, 556 ,84%, 297 ,45%, 138 ,21%, 435 ,66%, 15 ,2%, 226 ,34%,,
15,San Angelo,226,TOM GREEN,Economically Disadvantaged, 705 , 650 ,92%, 560 ,79%, 85 ,12%, 503 ,71%, 105 ,15%, 150 ,21%, 255 ,36%, 10 ,1%, 59 ,8%,,
15,San Angelo,233,VAL VERDE,Not Economically Disadvantaged, 213 , 200 ,94%, 173 ,81%, 21 ,10%, 168 ,79%, 77 ,36%, 67 ,31%, 144 ,68%, 8 ,4%, 63 ,30%,,
15,San Angelo,233,VAL VERDE,Economically Disadvantaged, 591 , 535 ,91%, 423 ,72%, 111 ,19%, 394 ,67%, 60 ,10%, 179 ,30%, 239 ,40%, 18 ,3%, 84 ,14%,,
16,Amarillo,006,ARMSTRONG,Not Economically Disadvantaged, 11 , 11 ,100%, 11 ,100%, -   ,0%, 10 ,91%, 3 ,27%, 4 ,36%, 7 ,64%, -   ,0%, 3 ,27%,,
16,Amarillo,006,ARMSTRONG,Economically Disadvantaged, 14 , 14 ,100%, 14 ,100%, -   ,0%, 12 ,86%, 3 ,21%, 5 ,36%, 8 ,57%, -   ,0%, 2 ,14%,,
16,Amarillo,023,BRISCOE,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
16,Amarillo,023,BRISCOE,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
16,Amarillo,033,CARSON,Not Economically Disadvantaged, 70 , 68 ,97%, . ,., . ,., 61 ,87%, 17 ,24%, 19 ,27%, 36 ,51%, 2 ,3%, 21 ,30%,,
16,Amarillo,033,CARSON,Economically Disadvantaged, 23 , 21 ,91%, . ,., . ,., 16 ,70%, 1 ,4%, 4 ,17%, 5 ,22%, -   ,0%, 3 ,13%,,
16,Amarillo,035,CASTRO,Not Economically Disadvantaged, 41 , 39 ,95%, 38 ,93%, 2 ,5%, 40 ,98%, 21 ,51%, 10 ,24%, 31 ,76%, -   ,0%, 15 ,37%,,
16,Amarillo,035,CASTRO,Economically Disadvantaged, 75 , 71 ,95%, 66 ,88%, 4 ,5%, 65 ,87%, 10 ,13%, 21 ,28%, 31 ,41%, 1 ,1%, 9 ,12%,,
16,Amarillo,038,CHILDRESS,Not Economically Disadvantaged, 37 , 31 ,84%, 34 ,92%, 1 ,3%, 27 ,73%, 15 ,41%, 12 ,32%, 27 ,73%, 3 ,8%, 11 ,30%,,
16,Amarillo,038,CHILDRESS,Economically Disadvantaged, 41 , 33 ,80%, 36 ,88%, 1 ,2%, 34 ,83%, 8 ,20%, 10 ,24%, 18 ,44%, 1 ,2%, 7 ,17%,,
16,Amarillo,044,COLLINGSWORTH,Not Economically Disadvantaged, 23 , 21 ,91%, 22 ,96%, -   ,0%, 21 ,91%, 9 ,39%, 9 ,39%, 18 ,78%, -   ,0%, 12 ,52%,,
16,Amarillo,044,COLLINGSWORTH,Economically Disadvantaged, 28 , 28 ,100%, 27 ,96%, -   ,0%, 26 ,93%, 5 ,18%, 7 ,25%, 12 ,43%, -   ,0%, 4 ,14%,,
16,Amarillo,056,DALLAM,Not Economically Disadvantaged, 61 , 57 ,93%, 56 ,92%, 1 ,2%, 54 ,89%, 21 ,34%, 19 ,31%, 40 ,66%, -   ,0%, 19 ,31%,,
16,Amarillo,056,DALLAM,Economically Disadvantaged, 75 , 67 ,89%, 59 ,79%, 4 ,5%, 52 ,69%, 6 ,8%, 17 ,23%, 23 ,31%, 1 ,1%, 3 ,4%,,
16,Amarillo,059,DEAF SMITH,Not Economically Disadvantaged, 95 , 93 ,98%, 87 ,92%, 4 ,4%, 79 ,83%, 32 ,34%, 25 ,26%, 57 ,60%, 3 ,3%, 20 ,21%,,
16,Amarillo,059,DEAF SMITH,Economically Disadvantaged, 240 , 229 ,95%, 191 ,80%, 30 ,13%, 150 ,63%, 28 ,12%, 45 ,19%, 73 ,30%, 10 ,4%, 21 ,9%,,
16,Amarillo,065,DONLEY,Not Economically Disadvantaged, 23 , 23 ,100%, 22 ,96%, -   ,0%, 21 ,91%, 10 ,43%, 9 ,39%, 19 ,83%, -   ,0%, 13 ,57%,,
16,Amarillo,065,DONLEY,Economically Disadvantaged, 42 , 41 ,98%, 37 ,88%, 3 ,7%, 32 ,76%, 4 ,10%, 20 ,48%, 24 ,57%, 4 ,10%, 9 ,21%,,
16,Amarillo,090,GRAY,Not Economically Disadvantaged, 154 , 149 ,97%, 142 ,92%, 3 ,2%, 134 ,87%, 41 ,27%, 58 ,38%, 99 ,64%, 6 ,4%, 43 ,28%,,
16,Amarillo,090,GRAY,Economically Disadvantaged, 136 , 124 ,91%, 109 ,80%, 10 ,7%, 94 ,69%, 12 ,9%, 47 ,35%, 59 ,43%, 5 ,4%, 23 ,17%,,
16,Amarillo,096,HALL,Not Economically Disadvantaged, 17 , 17 ,100%, 16 ,94%, 1 ,6%, 16 ,94%, 9 ,53%, 4 ,24%, 13 ,76%, -   ,0%, 9 ,53%,,
16,Amarillo,096,HALL,Economically Disadvantaged, 33 , 29 ,88%, 26 ,79%, 1 ,3%, 24 ,73%, 7 ,21%, 6 ,18%, 13 ,39%, 1 ,3%, 7 ,21%,,
16,Amarillo,098,HANSFORD,Not Economically Disadvantaged, 49 , 48 ,98%, . ,., . ,., 42 ,86%, 16 ,33%, 10 ,20%, 26 ,53%, -   ,0%, 14 ,29%,,
16,Amarillo,098,HANSFORD,Economically Disadvantaged, 55 , 53 ,96%, . ,., . ,., 50 ,91%, 9 ,16%, 18 ,33%, 27 ,49%, -   ,0%, 11 ,20%,,
16,Amarillo,103,HARTLEY,Not Economically Disadvantaged, 11 , 10 ,91%, 9 ,82%, -   ,0%, 9 ,82%, 4 ,36%, 4 ,36%, 8 ,73%, -   ,0%, 6 ,55%,,
16,Amarillo,103,HARTLEY,Economically Disadvantaged, 9 , 9 ,100%, 9 ,100%, -   ,0%, 8 ,89%, 4 ,44%, 2 ,22%, 6 ,67%, -   ,0%, 3 ,33%,,
16,Amarillo,106,HEMPHILL,Not Economically Disadvantaged, 31 , 31 ,100%, 28 ,90%, 2 ,6%, 27 ,87%, 10 ,32%, 10 ,32%, 20 ,65%, 2 ,6%, 12 ,39%,,
16,Amarillo,106,HEMPHILL,Economically Disadvantaged, 21 , 19 ,90%, 12 ,57%, 3 ,14%, 15 ,71%, 1 ,5%, 6 ,29%, 7 ,33%, -   ,0%, 2 ,10%,,
16,Amarillo,117,HUTCHINSON,Not Economically Disadvantaged, 180 , 171 ,95%, 164 ,91%, 4 ,2%, 145 ,81%, 34 ,19%, 84 ,47%, 118 ,66%, 10 ,6%, 56 ,31%,,
16,Amarillo,117,HUTCHINSON,Economically Disadvantaged, 138 , 127 ,92%, 117 ,85%, 6 ,4%, 103 ,75%, 11 ,8%, 49 ,36%, 60 ,43%, 5 ,4%, 18 ,13%,,
16,Amarillo,148,LIPSCOMB,Not Economically Disadvantaged, 23 , 22 ,96%, 22 ,96%, -   ,0%, 19 ,83%, 7 ,30%, 9 ,39%, 16 ,70%, 1 ,4%, 8 ,35%,,
16,Amarillo,148,LIPSCOMB,Economically Disadvantaged, 35 , 31 ,89%, 28 ,80%, -   ,0%, 23 ,66%, 5 ,14%, 3 ,9%, 8 ,23%, -   ,0%, 3 ,9%,,
16,Amarillo,171,MOORE,Not Economically Disadvantaged, 159 , 153 ,96%, 118 ,74%, 33 ,21%, 132 ,83%, 25 ,16%, 72 ,45%, 97 ,61%, 5 ,3%, 47 ,30%,,
16,Amarillo,171,MOORE,Economically Disadvantaged, 173 , 162 ,94%, 104 ,60%, 55 ,32%, 130 ,75%, 6 ,3%, 72 ,42%, 78 ,45%, 4 ,2%, 35 ,20%,,
16,Amarillo,179,OCHILTREE,Not Economically Disadvantaged, 76 , 72 ,95%, 71 ,93%, 4 ,5%, 69 ,91%, 16 ,21%, 32 ,42%, 48 ,63%, 4 ,5%, 20 ,26%,,
16,Amarillo,179,OCHILTREE,Economically Disadvantaged, 72 , 66 ,92%, 56 ,78%, 10 ,14%, 55 ,76%, 5 ,7%, 17 ,24%, 22 ,31%, 2 ,3%, 6 ,8%,,
16,Amarillo,180,OLDHAM,Not Economically Disadvantaged, 15 , 14 ,93%, 13 ,87%, -   ,0%, 15 ,100%, 10 ,67%, 1 ,7%, 11 ,73%, -   ,0%, 8 ,53%,,
16,Amarillo,180,OLDHAM,Economically Disadvantaged, 44 , 39 ,89%, 35 ,80%, 2 ,5%, 30 ,68%, 4 ,9%, 14 ,32%, 18 ,41%, 2 ,5%, 8 ,18%,,
16,Amarillo,185,PARMER,Not Economically Disadvantaged, 60 , 57 ,95%, 52 ,87%, 2 ,3%, 48 ,80%, 26 ,43%, 13 ,22%, 39 ,65%, 1 ,2%, 25 ,42%,,
